date,resPropPrice,fx,dsrPnfs,dsrHousehold,dsrNfc,policyRate,UStermSpread,financialStressIndex,fx_std,bankCreditPnfs_yoy_L1,totalCreditPnfsLCY_yoy_L1,totalCreditPnfs2GDP_yoy_L1,bankCreditPnfs_yoy_L2,totalCreditPnfsLCY_yoy_L2,totalCreditPnfs2GDP_yoy_L2,cpi_yoy_L1,financialConditionIndex,EAtermspread,USpolicyRate,financialStressIndex_movingAverage,is_systemic_crisis
1970-04-01,123.27,1.8600883787878788,,,,7.5,,0.10604,0.16126508710851584,15.414752600418025,14.502975860411826,1.8226002430133725,15.841754983497491,15.3653904588271,2.916160388821387,2.929191,,,7.882755102040816,,0.0
1970-07-01,124.3391,1.8566152777777776,,,,7.085858585858586,,0.10064,0.03828248267477283,15.830040489779984,14.855306620709463,1.3349514563106624,15.414752600418025,14.502975860411826,1.8226002430133725,3.3682954,,,6.698686868686869,,0.0
1970-10-01,124.7134,1.8589155285714287,,,,6.616161616161616,,0.0587599999999999,0.024769580510373684,14.827194490207374,14.103921424752874,0.6075334143377908,15.830040489779984,14.855306620709463,1.3349514563106624,3.503313400000001,,,5.577474747474748,,0.0
1971-01-01,125.7255,1.857594047619048,,,,6.0,,0.06502,0.0030361791921809556,9.975038958531579,11.554188862623205,-1.2987012987013102,14.827194490207374,14.103921424752874,0.6075334143377908,3.945319,,,3.850824742268041,,0.0
1971-04-01,129.8377,1.8261045714285715,,,,5.0,,0.06414,0.03165988354017933,9.517005400950062,11.074378030748179,-1.7899761336515496,9.975038958531579,11.554188862623205,-1.2987012987013102,4.2678824,,,4.551020408163265,,0.0
1971-07-01,130.5306,1.750598076923077,,,,5.0,,0.07232,0.10157416193856288,10.623210074123968,10.872317479172855,-0.8383233532934131,9.517005400950062,11.074378030748179,-1.7899761336515496,4.9756498,,,5.473535353535354,,0.0
1971-10-01,129.7477,1.6918204705882351,,,,4.525252525252525,,0.10192,0.14956476986573988,14.414685057518906,12.484918637196007,0.9661835748792313,10.623210074123968,10.872317479172855,-0.8383233532934131,5.758242,,,4.749292929292929,,0.0
1972-01-01,129.711,1.634253106060606,,,,3.612244897959184,,0.02908,0.1641598772791758,16.344603253822743,13.388799036679377,2.2727272727272707,14.414685057518906,12.484918637196007,0.9661835748792313,5.760006199999999,,,3.526530612244898,,0.0
1972-04-01,131.4523,1.6234663484848486,,,,3.0,,0.02808,0.11726903148077132,18.736151513275946,14.172605829486894,3.645200486026723,16.344603253822743,13.388799036679377,2.2727272727272707,5.4166618,,,4.302142857142857,,0.0
1972-07-01,131.0398,1.6262393384615383,,,,3.0,,0.02672,0.06448626841362365,18.727127363406648,14.885176570099379,4.710144927536231,18.736151513275946,14.172605829486894,3.645200486026723,4.9499048000000005,,,4.734545454545454,,0.0
1972-10-01,129.8338,1.6375672096774194,,,,3.919191919191919,,0.0500199999999999,0.013246412331638983,15.35444121015679,13.74910503548552,3.947368421052655,18.727127363406648,14.885176570099379,4.710144927536231,5.3613236,,,5.136161616161616,0.06485666666666665,0.0
1973-01-01,128.8483,1.53609821875,,,,4.93298969072165,,0.0911,0.09378950208154056,15.580876995572357,14.305049805696623,4.093567251461994,15.35444121015679,13.74910503548552,3.947368421052655,6.1464928,,,6.534226804123712,0.06615333333333331,0.0
1973-04-01,132.1882,1.3995453333333332,,,,5.928571428571429,,0.14492,0.22003103898011311,19.459972268846236,15.453508620075173,4.572098475967179,15.580876995572357,14.305049805696623,4.093567251461994,6.3910496000000006,,,7.817755102040816,0.06939333333333332,0.0
1973-07-01,132.1988,1.22456328125,,,,7.0,,0.40674,0.35769728401946554,25.119597566963627,14.994269502710633,3.2295271049596286,19.459972268846236,15.453508620075173,4.572098475967179,7.1537848,,,10.553232323232322,0.09490166666666665,0.0
1973-10-01,129.73,1.2972199850746269,,,,7.0,,0.45326,0.27026635650830794,24.953838969132434,15.008448250278805,2.9919447640966323,25.119597566963627,14.994269502710633,3.2295271049596286,7.1022486,,,10.035353535353536,0.12777666666666665,0.0
1974-01-01,129.4369,1.389649238095238,,,,7.0,,0.37614,0.16559253678898275,16.49775635884827,12.894851896382109,1.2359550561797494,24.953838969132434,15.008448250278805,2.9919447640966323,7.0324878,,,9.344845360824742,0.15370333333333333,0.0
1974-04-01,132.5987,1.281456542857143,,,,7.0,,0.37444,0.13695075173438084,12.815916611977606,10.856967713767851,0.5605381165919354,16.49775635884827,12.894851896382109,1.2359550561797494,7.452887800000001,,,11.243265306122447,0.17956166666666665,0.0
1974-07-01,132.6047,1.3328860694444444,,,,7.0,,0.34798,0.09597992033392155,4.670488528807315,9.97767657064319,0.893854748603351,12.815916611977606,10.856967713767851,0.5605381165919354,7.1624994,,,12.127474747474746,0.20253333333333332,1.0
1974-10-01,130.0797,1.2969063636363636,,,,6.565656565656566,,0.51318,0.0961027050923323,2.6677093785970607,9.268981935244902,0.893854748603351,4.670488528807315,9.97767657064319,0.893854748603351,6.924493200000001,,,9.33939393939394,0.23680499999999996,1.0
1975-01-01,128.1393,1.1952873,,,,5.582474226804123,,0.41398,0.11670936303294054,10.645171618852455,8.3508814393481,0.8879023307436729,2.6677093785970607,9.268981935244902,0.893854748603351,6.72242,,,6.257319587628866,0.26887999999999995,0.0
1975-04-01,127.3036,1.2041284307692308,,,,4.790816326530612,,0.22808,0.13640483204366352,7.848685645682085,7.187966814058067,0.557413600891854,10.645171618852455,8.3508814393481,0.8879023307436729,5.9452852,,,5.472755102040817,0.28554666666666667,0.0
