date,resPropPrice,fx,dsrPnfs,dsrHousehold,dsrNfc,policyRate,financialStressIndex,bankCreditPnfs_yoy_L1,totalCreditPnfsLCY_yoy_L1,totalCreditPnfs2GDP_yoy_L1,bankCreditPnfs_yoy_L2,totalCreditPnfsLCY_yoy_L2,totalCreditPnfs2GDP_yoy_L2,cpi_yoy_L1,is_systemic_crisis,financialConditionIndex,EAtermspread,USpolicyRate,UStermSpread,financialStressIndex_movingAverage
1948-07-01,,,,,,5.0,,,,,,,,,0.0,,,,,
1948-10-01,,,,,,5.0,,,,,,,,,0.0,,,,,
1949-01-01,,,,,,5.0,,,,,,,,,0.0,,,,,
1949-04-01,,,,,,4.803191489361702,,,,,,,,,0.0,,,,,
1949-07-01,,,,,,4.068421052631579,,,,,,,,,0.0,,,,,
1949-10-01,,,,,,4.0,,,,,,,,,0.0,,,,,
1950-01-01,,,,,,4.0,,133.813672922252,133.812472357364,,,,,,0.0,,,,,
1950-04-01,,,,,,4.0,,125.70558937465417,125.73046018991968,,133.813672922252,133.812472357364,,-7.321533666666667,0.0,,,,,
1950-07-01,,,,,,4.0,,102.66317397948046,102.67934312878133,,125.70558937465417,125.73046018991968,,-7.332302333333334,0.0,,,,,
1950-10-01,,,,,,5.4526315789473685,,88.85361552028219,88.83975328755965,,102.66317397948046,102.67934312878133,,-5.631673333333333,0.0,,,,,
1951-01-01,,,,,,6.0,,77.05317471692703,77.05476212995363,,88.85361552028219,88.83975328755965,,-4.441141333333333,0.0,,,,,
1951-04-01,,,,,,6.0,,58.75934779943606,58.75738208882775,,77.05317471692703,77.05476212995363,,2.4963073333333337,0.0,,,,,
1951-07-01,,,,,,6.0,,45.50840155105558,45.501066098081026,,58.75934779943606,58.75738208882775,,8.028597333333334,0.0,,,,,
1951-10-01,,,,,,6.0,,36.6828539409787,36.685770629198245,,45.50840155105558,45.501066098081026,,9.196410666666669,0.0,,,,,
1952-01-01,,,,,,6.0,,28.827005585687697,28.824786324786334,,36.6828539409787,36.685770629198245,,10.773619666666669,0.0,,,,,
1952-04-01,,,,,,5.627659574468085,,32.65637065637066,32.65898899306971,,28.827005585687697,28.824786324786334,,7.619150333333333,0.0,,,,,
1952-07-01,,,,,,4.773684210526316,,30.646235842771485,30.6467370066432,,32.65637065637066,32.65898899306971,,2.0217743333333336,0.0,,,,,
