const,fx,policyRate,bankCreditPnfs_yoy_L2,cpi_yoy_L1
0.0,-0.0010059861561759753,0.019571598651375144,-0.06050192577378377,1.4203768902142029
0.0,-0.0008212580359328037,0.034732934763189505,-0.01776317337046418,1.5354058984005077
0.0,-0.0016344867585109668,0.02061456544184903,-0.027667215305671178,1.254100421266906
0.0,-0.002066298782253728,0.014438369194035072,-0.05838711246446415,1.0273807809873912
0.0,-0.0011612126948770118,0.029292661065314363,-0.033026426391738806,0.8193134511380107
0.0,0.0008063962072966113,0.03256671983494064,0.030136252757772652,1.5117070618614727
0.0,-0.0015786381321629683,0.023731167822640398,-0.07212337282787651,1.308733950801539
0.0,4.5980113778654186e-05,0.027800579606338527,0.007401395293461732,1.1853720631523696
0.0,-0.00012187697196930358,0.028477455699045695,-0.031222549856857906,1.3302049246209497
0.0,0.0002684347920491881,0.021195822869259473,0.011947610805781217,1.1237398988351357
