const,fx
0.0,-0.0659568311367927
0.0,-0.062030346136792786
0.0,-0.04881170447012826
0.0,-0.003340909470134886
0.0,0.02719112886320007
0.0,-0.0002440244701348397
0.0,0.046890908863206
0.0,0.0703238405298722
0.0,0.06958532219653996
0.0,0.09713427552986992
0.0,0.08785617219653588
0.0,0.10532797886320343
0.0,0.0986794788632009
0.0,0.13519596552986032
0.0,0.1457130105298545
0.0,0.10521021219653738
0.0,0.08652736552987177
0.0,0.04381125052986999
0.0,0.061514878863206515
0.0,0.052016768863205616
0.0,-0.006231956136801743
0.0,-0.03251932113679978
0.0,-0.03565218613679849
0.0,-0.030563687803466133
0.0,-0.03384700113679872
0.0,-0.014854769470133204
0.0,-0.023397071136799518
0.0,-0.03972535613679772
0.0,-0.053004471136794164
0.0,-0.04222231613679631
0.0,-0.018075141136799547
0.0,-0.0037231878034683272
0.0,-0.001546411136801633
0.0,0.017838083863200634
0.0,0.03875073386320329
0.0,0.07109001719654061
0.0,0.04069925719653691
0.0,0.05703614386320554
0.0,0.04347026552987033
0.0,0.0689745238632054
0.0,0.0645694255298747
0.0,0.07376369052987254
0.0,0.06324841719653997
0.0,0.058732183863207076
0.0,0.01709546219653393
0.0,0.0008675355298650993
0.0,-0.007375624470134856
0.0,-0.032704519470133094
0.0,-0.03553546613679871
0.0,-0.0473573811367955
0.0,-0.040530862803463116
0.0,-0.04052731280346403
0.0,0.020599257196533678
0.0,0.021465198863200138
0.0,-0.005978707803468353
0.0,-0.007995032803468322
0.0,-0.014761102803466727
0.0,0.015445017196533847
0.0,0.00976949886319912
0.0,0.023379093863200497
0.0,0.024618920529867017
0.0,0.02344480052986738
0.0,0.02693271052986725
0.0,0.020873278863200145
0.0,0.017320875529866987
0.0,0.01630254719653384
0.0,0.02395627719653356
0.0,0.018240660529867083
0.0,-0.00791000947013505
0.0,-0.0001040661368014858
0.0,-0.004755172803468225
0.0,-0.012736276136800008
0.0,-0.030903197803466433
0.0,-0.018031354470132724
0.0,-0.007434721136801611
0.0,-0.024660172803466416
0.0,0.0010547521965316813
0.0,0.0010006588631983951
0.0,0.00236680886319833
0.0,-0.0032606794701350466
0.0,0.0319243821965339
0.0,0.0159355471965337
0.0,0.017692952196533895
0.0,0.016860127196533712
0.0,0.015528485529866845
0.0,0.010121782196532722
0.0,-0.01177148613680069
0.0,-0.004353924470135031
0.0,0.017661643863200443
0.0,-0.0031045011368018593
0.0,0.0322774271965332
0.0,0.0190770438632006
0.0,-0.03592045447013159
0.0,-0.013721364470133345
0.0,-0.022339762803466157
0.0,-0.022151724470132923
0.0,-0.014276142803466504
0.0,-0.01508373113680005
0.0,-0.0017290694701350582
0.0,-0.03554311447013192
0.0,-0.04872814280346153
0.0,-0.043710921136797
0.0,-0.04633773113679568
0.0,-0.05944953613679293
0.0,-0.03561517613679828
0.0,-0.040657939470130126
0.0,-0.022685619470132853
0.0,-0.013930602803466667
0.0,-0.028037119470132956
0.0,-0.01160562113680042
0.0,-0.003243841136801671
0.0,0.004950065529865043
0.0,0.008524552196531981
0.0,0.007079055529865011
0.0,0.024247712196533783
0.0,0.009324505529865584
0.0,0.007710855529865001
0.0,0.0015530038631981781
0.0,0.002832915529864985
0.0,-0.003865396136801663
0.0,0.011673232196532966
0.0,-0.002686471136801714
0.0,0.01303393552986665
0.0,-0.006549319470134954
0.0,0.00865709219653205
0.0,0.008215752196531657
0.0,0.012478277196533067
0.0,0.010680803863199476
0.0,0.0006342538631982767
0.0,0.00039292719653186045
0.0,-0.008418002803468013
0.0,-0.0024108128034683817
0.0,-0.010440369470133954
0.0,-0.020247212803466336
0.0,-0.04204852947012992
0.0,-0.033316671136799245
0.0,-0.03883600113679751
0.0,-0.05545214113679268
0.0,-0.04538127780346309
0.0,-0.06828830947012815
0.0,-0.038785547803463404
0.0,-0.08085588613679578
0.0,-0.09043207447012928
0.0,-0.08081144947012923
0.0,-0.04415350613679574
0.0,-0.020087372803466133
0.0,-0.003194182803468366
0.0,0.03191658052986751
0.0,-0.010988834470134259
0.0,0.01338515219653364
0.0,0.03699187719653579
0.0,0.016551643863200866
0.0,0.02842572552986709
0.0,0.03459632886320194
0.0,0.0357277905298685
0.0,0.047402507196537554
0.0,0.005884687196531779
0.0,-0.015343207803466187
0.0,-0.01521967447013295
0.0,-0.01452738613679965
0.0,-0.024309494470133156
0.0,-0.025320517803466357
0.0,-0.0367175078034646
0.0,-0.03258010613679961
0.0,-0.025352466136799246
0.0,-0.0440084544701296
0.0,-0.054028106136794436
0.0,-0.04976982613679488
0.0,-0.048296199470128705
0.0,-0.04344219947012934
0.0,-0.054767382803460586
0.0,-0.06546764613679248
0.0,-0.04667525613679519
