const,fx,policyRate,bankCreditPnfs_yoy_L2,cpi_yoy_L1
0.0,-0.014269679140684275,0.0008390094060405318,-0.05529886908942444,0.01742393062357678
0.0,-0.021054521774462955,-0.0036188186178696923,-0.049797222724673705,0.01821900556529272
0.0,-0.011167721370024992,-0.010274135190848029,-0.045772156611847095,0.015862293583300015
0.0,0.006232518523888757,-0.007040466560911227,-0.045905831436948576,0.01974260320983376
0.0,0.009998029426405992,-0.007259690650907941,-0.03939158212854636,0.025639865605662636
0.0,0.002623676136890936,-0.004734558071795618,-0.03370483926782072,0.026198702816877813
0.0,0.014316800933574996,-0.004321682559439068,-0.03172030356456616,0.03525378245941283
0.0,0.0188891986505314,-0.01303453890696801,-0.006680523507852741,0.04768619308862981
0.0,0.02497502193193668,-0.01322953230125222,0.01310921137896912,0.058887089937452404
0.0,0.0241597402555999,-0.00060251150658587,0.015777733094441828,0.06610600527223141
0.0,0.022369117996945534,0.009222284079060046,0.005328555528340075,0.06538935726642649
0.0,0.03388726555680933,0.010596267275318497,0.01568754651724248,0.08021365340428019
0.0,0.038393515805637435,0.010206238399659924,0.016003137601187517,0.08187560540280174
0.0,0.04201852921326918,0.00990504499268809,0.01654599873909774,0.08035047055941959
0.0,0.042963525738423415,0.009268604635217344,0.015829535647158083,0.07675608842139808
0.0,0.03529247754111111,0.007716481038373786,0.01380054219118847,0.06205495358081862
0.0,0.030960631180705606,0.006356133175067953,0.01075650451150068,0.04441320490638646
0.0,0.025982626511699893,0.005606188445144653,-0.001084011900788937,0.03566572001063832
0.0,0.01963243851739662,0.004312759909525994,-0.01004515314323271,0.027613416946232972
0.0,0.01210534778686906,0.004173912628780272,-0.0025832292960285487,0.027400117470756415
0.0,0.0009095316846787682,-0.002347668085717487,-0.010687677788059773,0.013550252614263627
0.0,-0.003213303109591834,-0.012236573499221777,-0.002176293812117365,-0.0005480632459648405
0.0,-0.0033561004138209683,-0.014963353467765046,-0.006671462289359624,-0.016892752744597603
0.0,-0.002676842322057382,-0.012198663160852448,-0.008403476928515374,-0.015684950319982818
0.0,-0.003083517900258812,-0.013390390891249809,-0.006446685023879581,-0.015829559682738362
0.0,-0.0005245445187119913,-0.004457149965669487,-0.00963402559601036,-0.015924395727920454
0.0,-0.0022979060897023373,0.004984054714200283,-0.017675814524945963,-0.013814296140549232
0.0,-0.0033020645297756348,0.003562433922093078,-0.015802058936928917,-0.016200784389357067
0.0,-0.006540978125658512,-0.0007481825216791549,-0.028543361869378715,-9.163525002804818e-05
0.0,-0.0065912878922017625,-0.003340383433187526,-0.03006940472383576,0.008025508513005661
0.0,-0.00514660275227925,-0.0036889879792670398,-0.01861341717720734,0.010575820945564373
0.0,-0.0077892758436337315,-0.018185750268617084,0.0013434528711559323,0.022215934443684093
