const,fx,policyRate,bankCreditPnfs_yoy_L2,cpi_yoy_L1
0.0,0.01295405497938984,0.5219528806664679,-0.06845651883516268,2.57594442410065
0.0,0.03067486549010301,0.6413228042125247,-0.3843550812964365,2.666685178288739
0.0,-0.004752973608778799,0.484444038469241,-0.09937344785664415,1.9024159010484465
0.0,-0.007423751243998744,0.4098790027078656,-0.05568368673427315,1.8105592278203413
0.0,-0.0030732907446804347,0.43284308308267194,-0.007769785466595236,1.4291318570670022
0.0,-0.005791767628750444,1.0346689347506004,-0.1639364601753619,2.232973448385128
0.0,0.012887251497466501,0.7447088023672888,0.0004920683126248271,2.389166016894231
0.0,0.023427034456627416,1.008445626618049,-0.047168906395608,2.0396008255238627
0.0,-0.007076210850350595,0.6653334433752485,-0.18217369206048972,2.1781320275321625
0.0,-0.001277315968771564,0.3243926230413865,-0.04619318197310318,1.8032067874748536
