date,resPropPrice,fx,dsrPnfs,dsrHousehold,dsrNfc,policyRate,financialStressIndex,bankCreditPnfs_yoy_L1,totalCreditPnfsLCY_yoy_L1,totalCreditPnfs2GDP_yoy_L1,bankCreditPnfs_yoy_L2,totalCreditPnfsLCY_yoy_L2,totalCreditPnfs2GDP_yoy_L2,cpi_yoy_L1,fx_std,is_systemic_crisis,EAtermspread,USpolicyRate,UStermSpread
1996-07-01,126.35020000000002,0.7665105915492958,,,,3.1909090909090905,0.0776599999999999,1.181045456654184,5.443823157340311,3.0701754385964897,3.079053483911398,6.115286341325543,2.9255319148935977,1.325414,0.0425058586535759,0.0,,5.25,0.5988571428571429
1996-10-01,125.5565,0.7820903142857143,,,,3.0,0.0576999999999999,2.521819539933001,5.375280064080967,3.762029746281703,1.181045456654184,5.443823157340311,3.0701754385964897,1.264045,0.027466246186153,0.0,,5.25,0.5561764705882353
1997-01-01,123.6047,0.8466956393442623,,,,3.0,0.07502,2.8393537850025075,5.775648328390881,4.249783174327848,2.521819539933001,5.375280064080967,3.762029746281703,1.5202566000000002,0.0727446194843956,0.0,,5.270618556701031,0.5223333333333333
1997-04-01,122.8746,0.8746047313432836,,,,3.0,0.1037599999999999,0.0106120457806779,5.6211425729497,3.875968992248069,2.8393537850025075,5.775648328390881,4.249783174327848,1.9290276,0.1030669612660244,0.0,,5.5,0.4277142857142857
1997-07-01,121.3101,0.921602625,,,,3.0,0.06364,0.1241680936500788,5.348840943229938,3.489361702127636,0.0106120457806779,5.6211425729497,3.875968992248069,1.5585724,0.1166122151329603,0.0,,5.5,0.3445714285714286
1997-10-01,120.90000000000002,0.898433742857143,,,,3.2515151515151515,0.05692,-0.6207152485492973,5.101082588641437,2.95109612141653,0.1241680936500788,5.348840943229938,3.489361702127636,2.3300968,0.0642397233518677,0.0,,5.5,0.1791176470588235
1998-01-01,120.15770000000002,0.9302272698412698,,,,3.3,0.04318,-1.4832738618237973,4.693123923084319,2.4958402662229595,-0.6207152485492973,5.101082588641437,2.95109612141653,2.1076486,0.0499749955588273,0.0,,5.5,0.141311475409836
1998-04-01,120.0255,0.9194600307692308,,,,3.3,0.0416,1.7152208628631094,4.695875172341335,2.15588723051412,-1.4832738618237973,4.693123923084319,2.4958402662229595,1.2064942,0.0269854212930699,0.0,,5.5,0.0377142857142857
1998-07-01,119.529,0.9031015833333332,,,,3.3,0.13152,4.648345225628892,4.547482788605728,1.8092105263157965,1.7152208628631094,4.695875172341335,2.15588723051412,1.342881,0.029405537938847,0.0,,5.492424242424242,0.0664285714285714
1998-10-01,119.9936,0.8499784929577464,,,,3.227272727272727,0.19426,9.680322434088495,5.159617801119554,2.4570024570024662,4.648345225628892,4.547482788605728,1.8092105263157965,0.6776169999999999,0.0712014703201601,0.0,,4.921717171717172,0.2755882352941176
1999-01-01,119.8707,0.8922776507936508,13.300000000000002,9.5,26.8,3.0,0.19112,11.314810135097076,6.120714739181032,3.5714285714285587,9.680322434088495,5.159617801119554,2.4570024570024662,0.3802877999999999,0.0593369016171834,0.0,,4.75,0.1395238095238095
1999-04-01,119.2507,0.9458359402985076,13.5,9.6,27.2,2.5510204081632653,0.1820999999999999,8.094755668306352,3.716377291963946,1.7045454545454586,11.314810135097076,6.120714739181032,3.5714285714285587,0.1625648,0.0787650617361179,0.0,,4.755102040816326,0.2569999999999999
1999-07-01,118.9177,0.9545557941176472,13.6,9.6,27.600000000000005,2.5,0.2300799999999999,4.675417444372565,4.736519007383633,2.9079159935379906,8.094755668306352,3.716377291963946,1.7045454545454586,0.6220244,0.0978730031612064,0.0,,5.101010101010101,0.252
1999-10-01,119.1314,0.963068671641791,13.800000000000002,9.6,28.399999999999995,2.797979797979798,0.17368,2.305038792936709,4.712651010725244,2.877697841726623,4.675417444372565,4.736519007383633,2.9079159935379906,0.6464676,0.0637806086183778,0.0,,5.371212121212121,0.2020289855072463
2000-01-01,118.7552,1.0142900153846153,14.1,9.8,29.0,3.191326530612245,0.1642199999999999,-1.2447031055981772,5.460354330831341,3.2915360501567736,2.305038792936709,4.712651010725244,2.877697841726623,0.9468968,0.0614362423031312,0.0,,5.686224489795919,-0.0578461538461538
2000-04-01,118.8544,1.0723047903225806,14.300000000000002,9.8,29.7,3.793367346938776,0.26454,1.8038798060049157,9.046533174623628,6.464485235434969,-1.2447031055981772,5.460354330831341,3.2915360501567736,1.568884,0.108669747663479,0.0,,6.244897959183674,-0.3889230769230769
