const,fx,policyRate,bankCreditPnfs_yoy_L2,cpi_yoy_L1
0.0,0.013712658981902992,0.530905395259283,-0.07841450136340566,2.6490707752431293
0.0,0.0314617190676445,0.6384212584690421,-0.40488161827544156,2.736687901730847
0.0,-0.002286864076997963,0.4825231451365546,-0.10739441678031159,1.95016054912584
0.0,-0.00642188268356092,0.41852631273242014,-0.058358501974118626,1.847860474242016
0.0,-0.0038284884902985983,0.44065128285746735,-0.008288731784637626,1.4699100535804515
0.0,-0.0051470510250339885,1.0251757740394136,-0.16990178840757086,2.28834034011623
0.0,0.012169518801904866,0.737247336252816,0.0001038546692038178,2.4359903780757737
0.0,0.028650323475470918,1.0104757068422165,-0.05836929419645842,2.0788134006886656
0.0,-0.005042683267060921,0.6537383241445995,-0.18896082395378344,2.232192168284138
0.0,0.0024741965253238796,0.31846220672785,-0.0599209432410861,1.8683155298139755
