const,fx,policyRate,bankCreditPnfs_yoy_L2,cpi_yoy_L1
0.0,-0.0010056316376862995,0.018712081492837207,-0.060430658938464,1.4235381162019634
0.0,-0.0008195211694794757,0.03328738755891969,-0.017723180568187225,1.5390395100062708
0.0,-0.0016400404860634765,0.01974861182431331,-0.027648330410006583,1.2571830604960663
0.0,-0.002071354430902783,0.01382014227945394,-0.058325844372538516,1.0297048843980452
0.0,-0.0011643060153283535,0.028061702927475896,-0.03308579993409566,0.8207673119229639
0.0,0.000817756543442627,0.03121621920324591,0.03017653228347017,1.5156119104703736
0.0,-0.0015791597792111922,0.022722356717523873,-0.07206316209996677,1.3116670435397868
0.0,5.2225383215365184e-05,0.026664735244234183,0.007414649892456104,1.18849172119993
0.0,-0.00011691372875377581,0.027283556245663032,-0.031210623963665363,1.3334541579767123
0.0,0.00027139789809016435,0.020289973440743125,0.011821325485815937,1.1256728667024252
