const,cpi_yoy_L1
0.0,0.023735479887138998
0.0,0.030070134283223877
0.0,0.032043190292313964
0.0,0.03819684976816794
0.0,0.03778106166047407
0.0,0.03721823958544311
0.0,0.04060997821721075
0.0,0.03826715815418221
0.0,0.03634695162911035
0.0,0.034716648396748526
0.0,0.028446814611660487
0.0,0.030462112450265817
0.0,0.029950363311092475
0.0,0.024955937815508557
0.0,0.02251814423005986
0.0,0.01672504335196248
0.0,0.01033374433900405
0.0,0.01040073521092369
0.0,0.011732542853613432
0.0,0.010594541931695149
0.0,0.012300442855130676
0.0,0.008830497378451289
0.0,0.004892490357011071
0.0,0.00414851039048288
0.0,0.0013741940486947102
0.0,0.0003529596187306901
0.0,0.0036943014033594076
0.0,0.0063129463006954345
0.0,0.016715076287486533
0.0,0.022816744702230055
0.0,0.02304439619835895
0.0,0.028020393032233346
0.0,0.02286305274551888
0.0,0.021151097681576025
0.0,0.027334905228122645
0.0,0.02732609832543369
0.0,0.03344762664459196
0.0,0.03911544779904086
0.0,0.030426136139831042
0.0,0.02249082314608598
0.0,0.02251258707123597
0.0,0.018579841924047987
0.0,0.01352376649606447
0.0,0.008954357154432787
0.0,0.0048707780663217
0.0,0.0023839139939411773
0.0,0.00258731827007979
0.0,0.0036298664372402963
0.0,-0.002922459481882392
0.0,-0.0024584512422799842
0.0,-0.0013144219970846857
0.0,-0.00030727086625390796
0.0,-0.0025324773094586744
0.0,-0.006807997823451442
0.0,-0.011593405408881562
0.0,-0.019519059531337497
0.0,-0.02220239595351882
0.0,-0.026490376508289188
0.0,-0.0245028902810336
0.0,-0.01934036879891161
0.0,-0.015569568683140718
0.0,-0.011945150649641629
0.0,-0.011992615627563643
0.0,-0.010765388744122594
0.0,-0.009337637819299215
0.0,-0.006656687877344523
0.0,-0.0003443121374389032
0.0,0.0039871204295174175
0.0,0.002882049384857515
0.0,0.00492414066779229
0.0,0.00233268615470171
0.0,-0.0011442428827761063
0.0,0.0015896598121180328
0.0,0.006086872882769137
0.0,0.0008554161685698992
0.0,0.002990625360496435
0.0,0.014327313267221753
0.0,0.01989326608518125
0.0,0.026793195193176397
0.0,0.02932341930385989
0.0,0.020690655446909963
0.0,0.007755156488068414
0.0,0.01748318891004552
0.0,0.017324472645993867
0.0,0.017299158851676478
0.0,0.015496806369385612
0.0,0.004790050814301082
0.0,0.0028595028749137993
0.0,9.545049575012059e-05
0.0,-0.0006135939174401103
0.0,-0.0019882920475565993
0.0,-0.004925369890670363
0.0,-0.00498333441344343
0.0,-0.006125632290631171
0.0,-0.008084893830852088
0.0,-0.008825772502589483
0.0,-0.009320890504713526
0.0,-0.007253804915686417
0.0,-0.003955887712436451
0.0,-0.006944677467857964
0.0,-0.0007201077418081456
0.0,-0.002514794120274304
0.0,-0.00978520371034895
0.0,-0.00868485076452791
0.0,-0.014052123859495232
0.0,-0.016450941495062703
0.0,-0.0182075055058247
0.0,-0.014500638533758803
0.0,-0.014303433620047996
0.0,-0.011879605542619253
0.0,-0.006861484670342896
0.0,-0.011497171682906955
0.0,-0.008726179309520996
0.0,-0.006114364683178441
0.0,-0.005983059863406753
0.0,0.0006612657559199579
0.0,-0.0029059590445615286
0.0,-0.005479365700089634
0.0,-0.003670570205259929
0.0,-0.007996448840546152
0.0,-0.009710049752921165
0.0,-0.009690757827573202
0.0,-0.010815632301456553
0.0,-0.012910637611485313
0.0,-0.01189002440862559
0.0,-0.010016784266215406
0.0,-0.01090542140131542
0.0,-0.005180031050432539
0.0,-0.005221541929614681
0.0,-0.004211036172420698
0.0,-0.006740561604308976
0.0,-0.010262106042913515
0.0,-0.00587113571571221
0.0,-0.0054887534904605306
0.0,-0.005935849830634031
0.0,-0.0032032057257174295
0.0,-0.0066883010758571745
0.0,-0.009674349364135313
0.0,-0.004789392152212851
0.0,-0.0031371749320498756
0.0,-0.001836354420037806
0.0,0.004408267226077179
0.0,0.003430316996302105
0.0,0.0018872243679221089
0.0,0.006144353332473923
0.0,-0.0036249721358045917
0.0,-0.012575546097851067
0.0,-0.015786717407264773
0.0,-0.02209615643722281
0.0,-0.017477623360621797
0.0,-0.01263979550262734
0.0,-0.009879789974314502
0.0,-0.0110155318885808
0.0,-0.008798964536067985
0.0,-0.005511175754983387
0.0,-0.0037679140721377977
0.0,-0.0017773104143224646
0.0,-0.0010912917434135532
0.0,-0.0023027927064429897
0.0,-0.004069094653761943
0.0,-0.004128856701195232
0.0,-0.003647163658831569
0.0,-0.00674010980277858
0.0,-0.008588029696563788
0.0,-0.005289192754484086
0.0,-0.009026503081814281
0.0,-0.009385859564784646
0.0,-0.009775344755524927
0.0,-0.012616056559358754
0.0,-0.014161090320742567
0.0,-0.0200417567897385
0.0,-0.011957733322263192
0.0,-0.01318795339084312
