date,cpi_yoy,fx,month,cpi_yoy_growthRate,cpi_yoy_lag1,cpi_yoy_lag2,bankCreditPnfs_lag2,totalCreditPnfsLCY_lag2,cpi_yoy_lag3,bankCreditPnfs_lag3,totalCreditPnfsLCY_lag3,cpi_yoy_lag4,bankCreditPnfs_lag4,totalCreditPnfsLCY_lag4,fx_std,is_systemic_crisis
1981-04-01,5.8063744,1.1615660161290322,1981-04,-0.0146046003763132,5.807466,5.040994,416.88000000000005,893.322,5.253187800000001,415.517,856.748,5.892431,415.5926666666667,843.0480000000001,0.1100134200738622,0.0
1981-07-01,6.565127,1.2429855735294115,1981-07,0.2497415378905734,5.8063744,5.807466,409.238,908.309,5.040994,416.88000000000005,893.322,5.253187800000001,415.517,856.748,0.0248471270515233,0.0
1981-10-01,7.2676434,1.1486414393939393,1981-10,0.441708401160565,6.565127,5.8063744,393.6636666666666,929.494,5.807466,409.238,908.309,5.040994,416.88000000000005,893.322,0.1623319351145454,0.0
1982-01-01,6.1906186,1.200067253968254,1982-02,0.0659758662383902,7.2676434,6.565127,404.026,945.555,5.8063744,393.6636666666666,929.494,5.807466,409.238,908.309,0.1484700565009356,0.0
1982-04-01,5.2070506000000005,1.217536888888889,1982-04,-0.1032182492400075,6.1906186,7.2676434,418.608,969.2419999999998,6.565127,404.026,945.555,5.8063744,393.6636666666666,929.494,0.1274073210891212,0.0
1982-07-01,5.2097482,1.2683813088235294,1982-07,-0.2064512689548884,5.2070506000000005,6.1906186,405.7756666666667,971.007,7.2676434,418.608,969.2419999999998,6.565127,404.026,945.555,0.1129168253443222,0.0
1982-10-01,4.7222914000000005,1.2788508208955225,1982-11,-0.3502307226576361,5.2097482,5.2070506000000005,408.9743333333333,989.106,6.1906186,405.7756666666667,971.007,7.2676434,418.608,969.2419999999998,0.0372280153705939,0.0
1983-01-01,4.0955998,1.2311761587301588,1983-01,-0.3384183286626638,4.7222914000000005,5.2097482,410.0196666666666,1005.091,5.2070506000000005,408.9743333333333,989.106,6.1906186,405.7756666666667,971.007,0.0655995709800892,0.0
1983-04-01,3.5292296,1.2721209508196722,1983-04,-0.3222209901321106,4.0955998,4.7222914000000005,430.2763333333333,1029.312,5.2097482,410.0196666666666,1005.091,5.2070506000000005,408.9743333333333,989.106,0.0709833623128176,0.0
1983-07-01,3.0230772000000004,1.3502835,1983-07,-0.4197268113648946,3.5292296,4.0955998,424.55633333333327,1023.793,4.7222914000000005,430.2763333333333,1029.312,5.2097482,410.0196666666666,1005.091,0.0837521020905247,0.0
1983-10-01,2.7148348,1.36908240625,1983-10,-0.4251022289729939,3.0230772000000004,3.5292296,425.942,1044.75,4.0955998,424.55633333333327,1023.793,4.7222914000000005,430.2763333333333,1029.312,0.083205408229242,0.0
1984-01-01,2.7400464,1.3816743384615384,1984-01,-0.3309779925274924,2.7148348,3.0230772000000004,427.933,1062.101,3.5292296,425.942,1044.75,4.0955998,424.55633333333327,1023.793,0.0474595418281864,0.0
1984-04-01,2.8692684,1.3867683333333334,1984-04,-0.1869986582907498,2.7400464,2.7148348,434.17333333333335,1090.841,3.0230772000000004,427.933,1062.101,3.5292296,425.942,1044.75,0.0531694442482614,0.0
1984-07-01,2.0571192,1.4904881692307692,1984-07,-0.3195280623333074,2.8692684,2.7400464,444.1303333333333,1092.598,2.7148348,434.17333333333335,1090.841,3.0230772000000004,427.933,1062.101,0.0663861867090587,0.0
1984-10-01,2.1146322,1.559579446153846,1984-10,-0.2210825498479687,2.0571192,2.8692684,439.6396666666666,1110.85,2.7400464,444.1303333333333,1092.598,2.7148348,434.17333333333335,1090.841,0.0668307118596079,0.0
1985-01-01,2.2564326,1.6642908412698414,1985-01,-0.1764983979833334,2.1146322,2.0571192,433.101,1128.384,2.8692684,439.6396666666666,1110.85,2.7400464,444.1303333333333,1092.598,0.0637763836204757,0.0
1985-04-01,2.3812672,1.5787918064516129,1985-04,-0.1700786165560531,2.2564326,2.1146322,436.45166666666665,1152.266,2.0571192,433.101,1128.384,2.8692684,439.6396666666666,1110.85,0.1166376681900906,0.0
1985-07-01,2.1054568,1.459867588235294,1985-07,0.0234977146681631,2.3812672,2.2564326,443.4213333333333,1158.413,2.1146322,436.45166666666665,1152.266,2.0571192,433.101,1128.384,0.1410732275844503,0.0
1985-10-01,1.5755136,1.3237779393939393,1985-10,-0.2549467467675939,2.1054568,2.3812672,450.82633333333337,1173.213,2.2564326,443.4213333333333,1158.413,2.1146322,436.45166666666665,1152.266,0.1445720464060956,0.0
