const,fx,bankCreditPnfs_yoy_L2
0.0,0.009381164873816239,0.002483132986294656
0.0,0.01189242304474547,0.03754420535521863
0.0,0.005902883234142564,-0.00023075410362416449
0.0,0.0070018470020087875,-0.006604765630601861
0.0,0.004746856806177924,-0.01664143586853495
0.0,0.01061802212549523,0.03453002767697111
0.0,0.008476478734301018,-0.01806695345655207
0.0,0.008898961930118965,0.004009769263328522
0.0,0.01151874305586098,0.010584532638119981
0.0,0.007601699369536696,-0.0019933515846943806
